ID,Name,Sex
143,"Desmond ""Des"" Abbott",M
252,Youcef Abdi,M
257,Ali Abdo,M
465,"Matthew ""Matt"" Abood",M
692,"James Dudley ""Jim"" Achurch",M
735,"Benjamin Maxwell ""Ben"" Acton",M
805,April Jane Adams,F
817,"Gerard ""Gerry"" Adams",M
823,Liam Adams,M
824,Luke Kendall Adams,M
828,Maureen Adams,F
834,Paul Adams,M
835,"Phillip Maxwell ""Phil"" Adams",M
868,"Frances ""Fran"" Adcock",F
1174,Robert David Garrick Agnew,M
1186,Paul Agostino,M
1311,"Nicholas Mark ""Nick"" A'Hern",M
1312,Michael H. G. Ah Matt,M
1489,Alexander Michael Hirst Aikman,M
1534,Brett Aitken,M
1620,Bruce Robert Akers,M
2221,Dianne Marie Alagich,F
2321,Fiona Albert,F
2439,Brett Alderman,M
2442,Olympia Aldersey,F
2548,Fiona Michelle Alessandri (-Wildy),F
2562,"Fleming ""Alex"" Alexander",M
2581,"Timothy ""Tim"" Alexander",M
2696,Peter Ali,M
2802,Donald John Allan,M
2805,Mitchell Allan,M
2835,"Christopher ""Chris"" Allen (-Ellis)",M
2850,"Kate Ruth ""Katie"" Allen",F
2857,Malcolm Allen,M
2858,"Ian Graeme Keith ""Mick"" Allen",M
2860,Monique Marie Allen,F
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F
2885,Laura Colleen Gloria Alleway,F
2928,"Edward James ""Ted"" Allsopp",M
3001,Alexei Almoukov,M
3015,John Aloisi,M
3016,Ross Aloisi,M
3054,Uzodinma Anthony Alozie,M
3094,"Jennifer ""Jenny"" Altermatt",F
3347,Eloise Michelle Amberger,F
3414,"Ronald William ""Ron"" Amess",M
3462,"Timothy ""Tim"" Amitrano",M
3494,"Judith Florence ""Judy"" Amoore-Pollock",F
3711,David Emil Andersen,M
3800,"Christopher Daniel ""Chris"" Anderson",M
3802,Colin Anderson,M
3803,Craig Anthony Anderson,M
3805,"David Rollo ""Dave"" Anderson",M
3809,David Lennon James Anderson,M
3825,Jenny-Lyn Anderson,F
3831,John Edward Anderson,M
3843,"Marcus ""Mark"" Anderson",M
3859,John Scott Anderson,M
3864,"Thomas James ""Tom"" Anderson",M
3877,Kate Suzanne Anderson-Richardson,F
3978,Ramon Dean Andersson,M
4145,"Janice ""Jan"" Andrew (-Thornett)",F
4147,Robert Andrew,M
4152,Jake Andrewartha,M
4163,"Michelle ""Shelley"" Andrews (-Mitchell)",F
4164,"Susan Elizabeth ""Sue"" Andrews",F
4250,David J. Anear,M
4290,Claude Angelo,M
4413,Ashlee Ankudinoff,F
4414,Justin John Anlezark,M
4418,Alyson Regina Annan,F
4427,"Harry Maxwell ""Max"" Annett",M
4433,"Christine Frances ""Chris"" Annison-Stanton",F
4474,"Christopher John ""Chris"" Anstey",M
4511,Mark Anthony,M
4561,Peter Thomas Antonie,M
4812,Zlatko Arambasic,M
4818,Zoe Arancini,F
5096,Simon Graham Arkell,M
5113,"Catherine Marie Joelle ""Cath"" Arlove",F
5114,Vyninka Rae Robyn Arlow,F
5158,Duncan John D'Arcy Armstrong,M
5163,"Jennifer Margaret ""Jenny"" Armstrong",F
5165,"James Michael ""Jim"" Armstrong",M
5181,Daniel Arnamnart,M
5223,Graham James Arnold,M
5227,Mackenzie Elizabeth Arnold,F
5231,Scott Edward Arnold,M
5237,"William Robert ""Bob"" Arnott",M
5305,"Jessica Nicole ""Nic"" Arrold",F
5348,Mariafe Artacho del Solar,F
5369,Richard Bruce Arthur,M
5371,George Arthur,M
5376,Wayne Arthurs,M
5532,Glenn Ashby,M
5541,Simon Carl Asher,M
5577,Jessica Ashwood,F
5622,"Anthony George ""Tony"" Aslangul",M
5650,Dina Aspandiyarova,F
5820,Courtney Atkinson,M
5828,John David Atkinson,M
5851,Teneal Attard,F
5870,Peter Attrill,M
5903,Rex Aubrey,M
6014,"Ernest Elliott ""Ernie"" Austen",M
6023,Ben Austin,M
6033,"Stephen John ""Steve"" Austin",M
6097,George Gordon Avery,M
6254,Marian Aylmore (Bell-),F
6457,Mark Tony Babic,M
