id,id_modality,athlete_id,id_olympic,Age,Height,Weight
1,1,143,1,21.0,184.0,87.0
2,2,252,1,30.0,178.0,66.0
3,2,252,2,34.0,178.0,66.0
4,3,257,3,19.0,169.0,74.0
5,4,257,4,23.0,169.0,74.0
6,4,257,1,27.0,169.0,74.0
7,5,465,5,30.0,197.0,92.0
8,6,465,5,30.0,197.0,92.0
9,7,692,6,28.0,,
10,8,735,7,32.0,,
11,9,805,8,19.0,,
12,10,817,3,38.0,177.0,70.0
13,11,817,3,38.0,177.0,70.0
14,12,823,5,29.0,178.0,64.0
15,13,824,4,27.0,189.0,70.0
16,13,824,1,31.0,189.0,70.0
17,14,824,1,31.0,189.0,70.0
18,14,824,2,35.0,189.0,70.0
19,15,828,9,38.0,169.0,68.0
20,16,834,5,24.0,185.0,98.0
21,17,835,10,39.0,163.0,93.0
22,18,835,11,43.0,163.0,93.0
23,17,835,11,43.0,163.0,93.0
24,18,835,8,46.0,163.0,93.0
25,17,835,8,46.0,163.0,93.0
26,18,835,12,50.0,163.0,93.0
27,17,835,12,50.0,163.0,93.0
28,19,868,4,20.0,178.0,72.0
29,20,1174,13,17.0,,
30,21,1174,13,17.0,,
31,20,1174,14,21.0,,
32,21,1174,14,21.0,,
33,22,1174,14,21.0,,
34,23,1186,12,21.0,184.0,84.0
35,13,1311,8,23.0,169.0,61.0
36,13,1311,12,27.0,169.0,61.0
37,13,1311,3,31.0,169.0,61.0
38,24,1312,15,21.0,188.0,73.0
39,25,1489,6,23.0,,
40,26,1534,8,21.0,173.0,65.0
41,26,1534,12,25.0,173.0,65.0
42,26,1534,3,29.0,173.0,65.0
43,27,1534,3,29.0,173.0,65.0
44,28,1620,16,19.0,165.0,74.0
45,28,1620,9,23.0,165.0,74.0
46,29,2221,3,21.0,169.0,64.0
47,29,2221,4,25.0,169.0,64.0
48,30,2321,5,25.0,174.0,70.0
49,31,2439,4,25.0,190.0,91.0
50,30,2442,5,24.0,183.0,75.0
51,32,2548,11,20.0,175.0,61.0
52,33,2548,11,20.0,175.0,61.0
53,34,2562,15,19.0,,
54,35,2581,16,23.0,185.0,80.0
55,35,2581,9,27.0,185.0,80.0
56,24,2696,17,24.0,194.0,91.0
57,36,2802,16,22.0,180.0,73.0
58,37,2802,16,22.0,180.0,73.0
59,38,2805,18,18.0,180.0,72.0
60,39,2835,19,24.0,177.0,68.0
61,40,2835,19,24.0,177.0,68.0
62,41,2835,19,24.0,177.0,68.0
63,42,2850,3,26.0,170.0,65.0
64,42,2850,4,30.0,170.0,65.0
65,20,2857,12,23.0,185.0,74.0
66,22,2857,12,23.0,185.0,74.0
67,43,2858,6,18.0,190.0,84.0
68,43,2858,20,22.0,190.0,84.0
69,43,2858,15,26.0,190.0,84.0
70,44,2860,11,16.0,157.0,46.0
71,45,2860,11,16.0,157.0,46.0
72,46,2860,11,16.0,157.0,46.0
73,47,2860,11,16.0,157.0,46.0
74,48,2860,11,16.0,157.0,46.0
75,44,2860,8,20.0,157.0,46.0
76,49,2860,8,20.0,157.0,46.0
77,45,2860,8,20.0,157.0,46.0
78,46,2860,8,20.0,157.0,46.0
79,47,2860,8,20.0,157.0,46.0
80,48,2860,8,20.0,157.0,46.0
81,50,2875,3,21.0,170.0,59.0
82,50,2875,4,25.0,170.0,59.0
83,50,2875,1,29.0,170.0,59.0
84,29,2885,5,26.0,178.0,72.0
85,13,2928,6,30.0,179.0,80.0
86,14,2928,6,30.0,179.0,80.0
87,14,2928,15,38.0,179.0,80.0
88,51,3001,21,19.0,173.0,73.0
89,52,3001,21,19.0,173.0,73.0
90,51,3001,22,23.0,173.0,73.0
91,52,3001,22,23.0,173.0,73.0
92,23,3015,4,28.0,184.0,83.0
93,23,3016,12,23.0,178.0,73.0
94,53,3054,2,25.0,171.0,79.0
95,54,3094,23,19.0,,
96,55,3094,23,19.0,,
97,56,3347,1,21.0,165.0,55.0
98,57,3347,2,25.0,165.0,55.0
99,56,3347,2,25.0,165.0,55.0
100,8,3414,7,22.0,,
101,58,3462,4,25.0,171.0,70.0
102,59,3494,15,24.0,163.0,55.0
103,60,3494,9,36.0,163.0,55.0
104,61,3494,9,36.0,163.0,55.0
105,24,3711,4,24.0,211.0,102.0
106,24,3711,1,28.0,211.0,102.0
107,24,3711,2,32.0,211.0,102.0
108,24,3711,5,36.0,211.0,102.0
