id,Games,Year,Season,City
1,2008 Summer,2008,Summer,Beijing
2,2012 Summer,2012,Summer,London
3,2000 Summer,2000,Summer,Sydney
4,2004 Summer,2004,Summer,Athina
5,2016 Summer,2016,Summer,Rio de Janeiro
6,1956 Summer,1956,Summer,Melbourne
7,1960 Winter,1960,Winter,Squaw Valley
8,1992 Summer,1992,Summer,Barcelona
9,1976 Summer,1976,Summer,Montreal
10,1984 Summer,1984,Summer,Los Angeles
11,1988 Summer,1988,Summer,Seoul
12,1996 Summer,1996,Summer,Atlanta
13,1948 Summer,1948,Summer,London
14,1952 Summer,1952,Summer,Helsinki
15,1964 Summer,1964,Summer,Tokyo
16,1972 Summer,1972,Summer,Munich
17,1980 Summer,1980,Summer,Moskva
18,2006 Winter,2006,Winter,Torino
19,1984 Winter,1984,Winter,Sarajevo
20,1960 Summer,1960,Summer,Roma
21,2010 Winter,2010,Winter,Vancouver
22,2014 Winter,2014,Winter,Sochi
23,1980 Winter,1980,Winter,Lake Placid
24,1968 Summer,1968,Summer,Mexico City
25,1924 Summer,1924,Summer,Paris
26,1952 Winter,1952,Winter,Oslo
27,1956 Winter,1956,Winter,Cortina d'Ampezzo
28,1936 Summer,1936,Summer,Berlin
29,1994 Winter,1994,Winter,Lillehammer
30,1998 Winter,1998,Winter,Nagano
31,1956 Summer,1956,Summer,Stockholm
32,1906 Summer,1906,Summer,Athina
33,1932 Summer,1932,Summer,Los Angeles
34,2002 Winter,2002,Winter,Salt Lake City
35,1920 Summer,1920,Summer,Antwerpen
36,1988 Winter,1988,Winter,Calgary
37,1928 Summer,1928,Summer,Amsterdam
38,1964 Winter,1964,Winter,Innsbruck
39,1976 Winter,1976,Winter,Innsbruck
40,1992 Winter,1992,Winter,Albertville
41,1972 Winter,1972,Winter,Sapporo
42,1968 Winter,1968,Winter,Grenoble
43,1924 Winter,1924,Winter,Chamonix
44,1896 Summer,1896,Summer,Athina
45,1904 Summer,1904,Summer,St. Louis
46,1936 Winter,1936,Winter,Garmisch-Partenkirchen
47,1900 Summer,1900,Summer,Paris
