id_atlhete_modality,Medal,id
1,Bronze,1
8,Bronze,2
39,Bronze,3
40,Silver,4
41,Bronze,5
43,Gold,6
63,Gold,7
81,Bronze,8
82,Silver,9
83,Bronze,10
102,Bronze,11
112,Silver,12
113,Bronze,13
117,Gold,14
120,Bronze,15
122,Gold,16
125,Bronze,17
127,Bronze,18
128,Silver,19
131,Gold,20
142,Gold,21
143,Gold,22
153,Gold,23
164,Gold,24
165,Silver,25
168,Gold,26
170,Bronze,27
185,Silver,28
191,Silver,29
209,Silver,30
226,Silver,31
228,Silver,32
241,Gold,33
242,Silver,34
265,Silver,35
267,Gold,36
282,Bronze,37
292,Bronze,38
293,Bronze,39
307,Bronze,40
314,Gold,41
315,Bronze,42
317,Silver,43
319,Silver,44
346,Silver,45
347,Silver,46
348,Bronze,47
351,Bronze,48
370,Gold,49
371,Gold,50
385,Bronze,51
386,Bronze,52
401,Bronze,53
405,Bronze,54
406,Silver,55
408,Bronze,56
409,Silver,57
415,Gold,58
420,Silver,59
428,Gold,60
429,Silver,61
432,Gold,62
435,Gold,63
436,Silver,64
437,Silver,65
440,Silver,66
444,Silver,67
447,Bronze,68
453,Silver,69
457,Bronze,70
471,Bronze,71
486,Silver,72
491,Silver,73
492,Gold,74
493,Bronze,75
495,Bronze,76
498,Silver,77
501,Silver,78
517,Bronze,79
523,Silver,80
531,Bronze,81
539,Bronze,82
552,Bronze,83
584,Silver,84
585,Silver,85
589,Silver,86
642,Silver,87
643,Bronze,88
644,Silver,89
651,Bronze,90
652,Bronze,91
661,Bronze,92
679,Bronze,93
686,Gold,94
696,Bronze,95
697,Silver,96
707,Bronze,97
711,Silver,98
713,Silver,99
714,Silver,100
725,Bronze,101
730,Gold,102
733,Bronze,103
752,Bronze,104
783,Bronze,105
784,Gold,106
786,Gold,107
791,Bronze,108
795,Silver,109
807,Gold,110
809,Silver,111
814,Bronze,112
816,Silver,113
823,Bronze,114
824,Bronze,115
827,Bronze,116
828,Silver,117
830,Bronze,118
831,Silver,119
832,Silver,120
843,Gold,121
844,Silver,122
845,Bronze,123
846,Gold,124
847,Bronze,125
850,Bronze,126
860,Gold,127
861,Gold,128
863,Bronze,129
869,Bronze,130
870,Bronze,131
871,Bronze,132
890,Bronze,133
892,Bronze,134
893,Gold,135
900,Silver,136
903,Silver,137
920,Bronze,138
921,Bronze,139
923,Gold,140
954,Silver,141
956,Silver,142
967,Bronze,143
972,Silver,144
973,Silver,145
974,Silver,146
983,Gold,147
985,Silver,148
994,Bronze,149
996,Gold,150
998,Silver,151
1004,Gold,152
1007,Bronze,153
1009,Bronze,154
1042,Gold,155
1045,Bronze,156
1050,Gold,157
1055,Bronze,158
1058,Silver,159
1059,Bronze,160
1070,Gold,161
1071,Bronze,162
1073,Bronze,163
1075,Gold,164
1078,Gold,165
1079,Silver,166
1094,Gold,167
1095,Bronze,168
1102,Gold,169
1103,Gold,170
1109,Gold,171
1112,Silver,172
1124,Silver,173
1141,Gold,174
1146,Bronze,175
1147,Silver,176
1154,Bronze,177
1165,Gold,178
1167,Gold,179
1185,Bronze,180
1192,Gold,181
1193,Bronze,182
1194,Bronze,183
1196,Bronze,184
1202,Bronze,185
1203,Bronze,186
1204,Gold,187
1208,Silver,188
1209,Bronze,189
1212,Silver,190
1215,Bronze,191
1216,Gold,192
1217,Silver,193
1218,Silver,194
1219,Silver,195
1244,Silver,196
1246,Gold,197
1255,Bronze,198
1269,Bronze,199
1274,Silver,200
1280,Bronze,201
1284,Silver,202
1316,Bronze,203
1327,Gold,204
1338,Gold,205
1368,Bronze,206
1376,Silver,207
1388,Bronze,208
1389,Silver,209
1394,Silver,210
1398,Bronze,211
1409,Bronze,212
1410,Gold,213
1419,Silver,214
1423,Bronze,215
1424,Silver,216
1426,Silver,217
1435,Gold,218
1436,Gold,219
1450,Bronze,220
1456,Silver,221
1469,Bronze,222
1484,Gold,223
1485,Silver,224
1486,Bronze,225
1487,Silver,226
1488,Silver,227
1496,Silver,228
1497,Gold,229
1498,Silver,230
1501,Bronze,231
1508,Gold,232
1511,Silver,233
1512,Gold,234
1513,Gold,235
1514,Silver,236
1529,Gold,237
1558,Gold,238
1562,Bronze,239
1570,Bronze,240
1577,Bronze,241
1578,Silver,242
1579,Gold,243
1584,Bronze,244
1586,Bronze,245
1589,Bronze,246
1597,Gold,247
1609,Silver,248
1637,Silver,249
1638,Bronze,250
1643,Gold,251
1644,Gold,252
1645,Gold,253
1647,Gold,254
1659,Gold,255
1667,Silver,256
1675,Silver,257
1677,Gold,258
1689,Silver,259
1693,Gold,260
1694,Bronze,261
1697,Silver,262
1698,Bronze,263
1699,Bronze,264
1705,Bronze,265
1722,Gold,266
1769,Gold,267
1770,Bronze,268
1771,Bronze,269
1776,Bronze,270
1782,Bronze,271
1783,Silver,272
1785,Bronze,273
1789,Silver,274
1792,Silver,275
1805,Bronze,276
1808,Silver,277
1813,Gold,278
1816,Silver,279
1822,Bronze,280
1830,Silver,281
1831,Gold,282
1832,Gold,283
1833,Bronze,284
1838,Bronze,285
1845,Gold,286
1846,Gold,287
1856,Bronze,288
1858,Bronze,289
1860,Bronze,290
1862,Silver,291
1863,Bronze,292
1864,Bronze,293
1865,Silver,294
1866,Bronze,295
1867,Bronze,296
1875,Bronze,297
1877,Bronze,298
1883,Gold,299
1890,Bronze,300
1892,Bronze,301
1897,Silver,302
1915,Gold,303
1919,Gold,304
1926,Silver,305
1956,Bronze,306
1965,Silver,307
1966,Bronze,308
1967,Bronze,309
1969,Bronze,310
1982,Silver,311
1983,Silver,312
1996,Bronze,313
1997,Gold,314
1998,Gold,315
2003,Silver,316
2004,Gold,317
2005,Bronze,318
2006,Bronze,319
2012,Silver,320
2015,Bronze,321
2034,Bronze,322
2035,Bronze,323
2036,Silver,324
2048,Silver,325
2050,Bronze,326
2053,Bronze,327
2055,Bronze,328
2056,Silver,329
2057,Silver,330
2063,Gold,331
2066,Bronze,332
2067,Gold,333
2072,Gold,334
2077,Bronze,335
2078,Silver,336
2079,Bronze,337
2080,Gold,338
2081,Silver,339
2082,Silver,340
2083,Gold,341
2084,Silver,342
2097,Gold,343
2101,Gold,344
2117,Silver,345
2125,Silver,346
2126,Bronze,347
2128,Gold,348
2129,Bronze,349
2131,Bronze,350
2133,Bronze,351
2134,Silver,352
2135,Bronze,353
2139,Gold,354
2140,Silver,355
2151,Bronze,356
2162,Gold,357
2166,Bronze,358
2168,Bronze,359
2169,Silver,360
2170,Silver,361
2178,Gold,362
2179,Gold,363
2182,Silver,364
2194,Silver,365
